startcong,district,statename,pop_density
67,3,Colorado,28516.696873927194
67,4,Colorado,22556.11565292299
67,1,Colorado,15618428.469806762
98,32,California,31303203.026643984
98,33,California,2273377.7868902385
98,34,California,22448168.658119287
98,35,California,68877.99596342185
98,36,California,8267015.723302902
98,37,California,294901.4178354102
98,38,California,29155525.83661868
98,39,California,14264950.178997463
98,10,California,8808530.782056542
98,11,California,12127327.94340659
98,12,California,753095.3902069716
98,13,California,19768238.644986704
98,14,California,69757.50867470914
98,15,California,232650.1064153972
98,16,California,375593.2229637837
98,17,California,212183.11517097676
98,18,California,223623.70167252232
98,19,California,528949.4274632643
98,1,California,137947.76653439843
98,20,California,224613.93028255596
98,21,California,2050807.8849289974
98,22,California,2040751.313842344
98,23,California,18728439.522126924
98,24,California,38699457.016284704
98,25,California,33745275.58186642
98,26,California,23175570.578859095
98,27,California,15780378.52982297
98,28,California,45754245.661534406
98,29,California,43628657.40886875
98,2,California,196634.60523107246
98,30,California,24920109.485433653
98,31,California,28174831.21147731
98,41,California,7791227.172579465
98,42,California,17328176.24909386
98,43,California,1915887.1329240736
98,44,California,25954591.454599116
98,45,California,288493.34330218233
98,4,California,827841.4779585581
98,5,California,60248152.21151506
98,6,California,3461643.012332504
98,7,California,3195942.866698402
98,8,California,12552182.739631735
98,9,California,3565539.3353834725
98,3,California,5276418.163415923
98,40,California,6644875.002154186
90,1,Tennessee,368407.5872029315
90,2,Tennessee,478457.67327528336
90,3,Tennessee,371988.7720255695
90,4,Tennessee,197560.24349394755
90,5,Tennessee,3346859.4405015986
90,6,Tennessee,207207.7190266106
90,7,Tennessee,320109.2477668755
90,8,Tennessee,333103.93884772225
90,9,Tennessee,30700144.621271115
106,3,New York,13128500.650159908
106,5,New York,13266366.0438973
106,7,New York,84918455.85831612
106,12,New York,135855016.3567922
106,17,New York,95934168.48124518
106,29,New York,1860887.0933246615
106,15,New York,166825539.51422244
106,1,New York,2791053.421452217
106,2,New York,9727105.475590248
106,4,New York,26268569.449429285
106,6,New York,60423624.7423559
106,8,New York,118610113.26439339
106,9,New York,41159542.21089362
106,10,New York,135288470.7710942
106,11,New York,214855947.65037298
106,13,New York,35317185.31674813
106,14,New York,159786551.2476098
106,16,New York,131653330.55772837
106,18,New York,22961559.257739533
106,19,New York,2007935.7329820949
106,20,New York,1708009.640728301
106,21,New York,2036456.2069002623
106,22,New York,333791.8309277847
106,23,New York,371153.0100666487
106,24,New York,168487.9725742953
106,25,New York,1199235.6405636605
106,26,New York,722446.8544871818
106,27,New York,614881.3790520534
106,28,New York,7925510.736703119
106,30,New York,3105001.3463266753
106,31,New York,334408.3448883674
107,3,New York,13407442.870350081
107,5,New York,13548237.5002616
107,7,New York,86722724.54393724
107,12,New York,138741537.8946553
107,17,New York,97972488.82424115
107,29,New York,1900425.4984455006
107,15,New York,170370094.0385012
107,1,New York,2850355.1390508506
107,2,New York,9933778.00200339
107,4,New York,26826699.679125726
107,6,New York,61707449.94728251
107,8,New York,121130231.07621488
107,9,New York,42034062.03553011
107,10,New York,138162954.8731735
107,11,New York,219421007.79362163
107,13,New York,36067572.154181965
107,14,New York,163181547.86978665
107,16,New York,134450578.56797668
107,18,New York,23449425.19834137
